Index,L1,L2
18137,T cell,CD4 Naive
18138,T cell,CD4 Memory
18139,Mono/DC,CD14 Mono
18140,Mono/DC,CD16 Mono
18141,T cell,CD8 Naive
18142,Mono/DC,CD14 Mono
18143,T cell,CD4 Naive
18144,B cell,Memory B
18145,Mono/DC,CD14 Mono
18146,T cell,CD8 Naive
18147,T cell,CD4 Memory
18148,T cell,CD8 Memory_1
18149,B cell,Memory B
18150,B cell,Memory B
18151,T cell,CD8 Effector_1
18152,T cell,CD8 Naive
18153,B cell,Naive B
18154,T cell,CD8 Naive
18155,T cell,CD4 Memory
18156,T cell,CD4 Memory
18157,T cell,CD4 Naive
18158,T cell,gdT
18159,T cell,CD4 Memory
18160,Mono/DC,CD14 Mono
18161,Mono/DC,CD14 Mono
18162,Mono/DC,CD14 Mono
18163,Progenitor cells,GMP
18164,Mono/DC,cDC2
18165,T cell,CD4 Memory
18166,T cell,CD8 Naive
18167,B cell,Naive B
18168,T cell,gdT
18169,T cell,CD8 Memory_2
18170,Mono/DC,CD16 Mono
18171,Mono/DC,CD14 Mono
18172,Mono/DC,CD14 Mono
18173,NK,NK
18174,Mono/DC,CD16 Mono
18175,T cell,CD8 Naive
18176,Mono/DC,CD14 Mono
18177,B cell,Naive B
18178,T cell,CD8 Naive
18179,T cell,Treg
18180,B cell,Naive B
18181,Mono/DC,CD14 Mono
18182,Mono/DC,cDC2
18183,T cell,CD4 Naive
18184,T cell,CD8 Naive
18185,Mono/DC,CD14 Mono
18186,T cell,CD8 Naive
18187,T cell,CD8 Naive
18188,T cell,Treg
18189,B cell,Memory B
18190,T cell,CD8 Naive
18191,B cell,Memory B
18192,T cell,CD4 Naive
18193,Mono/DC,CD16 Mono
18194,B cell,Plasmablast
18195,T cell,CD8 Naive
18196,Mono/DC,CD14 Mono
18197,Mono/DC,CD14 Mono
18198,B cell,Naive B
18199,T cell,CD8 Effector_1
18200,T cell,CD4 Memory
18201,Mono/DC,CD14 Mono
18202,T cell,CD8 Naive
18203,T cell,CD8 Effector_1
18204,Progenitor cells,GMP
18205,Mono/DC,CD14 Mono
18206,T cell,CD8 Naive
18207,Mono/DC,CD14 Mono
18208,T cell,CD4 Memory
18209,T cell,CD8 Naive
18210,Mono/DC,CD14 Mono
18211,B cell,Memory B
18212,Mono/DC,CD14 Mono
18213,Mono/DC,CD14 Mono
18214,Mono/DC,CD14 Mono
18215,Mono/DC,CD14 Mono
18216,Mono/DC,CD14 Mono
18217,Mono/DC,CD14 Mono
18218,T cell,CD4 Naive
18219,Mono/DC,CD14 Mono
18220,Mono/DC,CD14 Mono
18221,T cell,CD4 Memory
18222,T cell,CD4 Naive
18223,B cell,Memory B
18224,Mono/DC,CD14 Mono
18225,NK,NK
18226,T cell,CD8 Naive
18227,B cell,Naive B
18228,T cell,CD4 Memory
18229,Mono/DC,CD14 Mono
18230,B cell,Naive B
18231,T cell,CD8 Naive
18232,T cell,CD4 Naive
18233,T cell,CD4 Memory
18234,NK,CD56 bright NK
18235,T cell,CD4 Naive
18236,Mono/DC,CD14 Mono
18237,T cell,CD4 Naive
18238,T cell,CD4 Memory
18239,T cell,CD8 Memory_1
18240,T cell,CD4 Naive
18241,Mono/DC,CD14 Mono
18242,NK,NK
18243,T cell,CD4 Naive
18244,Progenitor cells,Prog_B 1
18245,Mono/DC,CD14 Mono
18246,T cell,CD4 Naive
18247,T cell,CD8 Naive
18248,T cell,CD8 Memory_2
18249,Mono/DC,CD14 Mono
18250,T cell,CD4 Memory
18251,T cell,CD4 Naive
18252,Progenitor cells,LMPP
18253,T cell,CD8 Naive
18254,B cell,Naive B
18255,T cell,CD8 Naive
18256,T cell,CD8 Naive
18257,T cell,CD8 Naive
18258,T cell,CD4 Memory
18259,T cell,gdT
18260,NK,NK
18261,T cell,CD8 Naive
18262,T cell,gdT
18263,T cell,CD4 Naive
18264,T cell,CD4 Memory
18265,T cell,CD4 Naive
18266,B cell,Memory B
18267,B cell,Naive B
18268,T cell,CD4 Memory
18269,T cell,CD8 Naive
18270,T cell,CD4 Naive
18271,Mono/DC,CD14 Mono
18272,T cell,CD8 Naive
18273,Mono/DC,CD14 Mono
18274,Mono/DC,CD14 Mono
18275,T cell,CD8 Naive
18276,T cell,CD8 Naive
18277,T cell,CD8 Naive
18278,T cell,MAIT
18279,Mono/DC,CD14 Mono
18280,T cell,MAIT
18281,Mono/DC,CD14 Mono
18282,NK,CD56 bright NK
18283,T cell,CD8 Naive
18284,Mono/DC,CD14 Mono
18285,T cell,CD8 Naive
18286,T cell,CD4 Naive
18287,T cell,CD4 Naive
18288,T cell,CD4 Naive
18289,T cell,CD8 Effector_1
18290,T cell,CD8 Naive
18291,T cell,CD8 Naive
18292,Progenitor cells,LMPP
18293,Mono/DC,CD14 Mono
18294,B cell,Memory B
18295,T cell,CD8 Naive
18296,Progenitor cells,GMP
18297,T cell,CD8 Naive
18298,T cell,MAIT
18299,B cell,Memory B
18300,B cell,Memory B
18301,T cell,CD4 Memory
18302,Progenitor cells,Prog_RBC
18303,NK,NK
18304,Mono/DC,CD14 Mono
18305,Mono/DC,CD14 Mono
18306,T cell,CD8 Naive
18307,T cell,CD4 Naive
18308,T cell,CD8 Memory_2
18309,T cell,Treg
18310,T cell,CD8 Effector_1
18311,Mono/DC,CD16 Mono
18312,Progenitor cells,LMPP
18313,T cell,CD8 Effector_2
18314,T cell,CD8 Naive
18315,Mono/DC,CD16 Mono
18316,B cell,Naive B
18317,B cell,Naive B
18318,Mono/DC,CD14 Mono
18319,T cell,Treg
18320,Mono/DC,CD14 Mono
18321,T cell,CD4 Memory
18322,T cell,CD8 Memory_2
18323,T cell,CD4 Naive
18324,T cell,CD4 Memory
18325,T cell,MAIT
18326,NK,NK
18327,NK,NK
18328,B cell,Memory B
18329,T cell,CD8 Memory_1
18330,Mono/DC,CD14 Mono
18331,T cell,CD8 Effector_2
18332,T cell,CD4 Naive
18333,T cell,CD4 Memory
18334,T cell,CD8 Naive
18335,T cell,CD8 Naive
18336,NK,NK
18337,T cell,CD4 Naive
18338,T cell,CD4 Naive
18339,T cell,CD8 Naive
18340,T cell,CD8 Naive
18341,Mono/DC,CD14 Mono
18342,T cell,CD4 Memory
18343,T cell,CD8 Naive
18344,T cell,CD4 Memory
18345,Mono/DC,CD14 Mono
18346,T cell,CD8 Naive
18347,T cell,CD8 Naive
18348,Mono/DC,CD14 Mono
18349,T cell,CD4 Naive
18350,T cell,MAIT
18351,Mono/DC,CD14 Mono
18352,Mono/DC,CD14 Mono
18353,T cell,CD8 Naive
18354,T cell,CD4 Memory
18355,T cell,CD4 Memory
18356,T cell,CD4 Naive
18357,T cell,CD4 Naive
18358,T cell,CD4 Naive
18359,B cell,Naive B
18360,T cell,CD8 Naive
18361,T cell,CD4 Naive
18362,Progenitor cells,LMPP
18363,T cell,CD8 Effector_1
18364,Mono/DC,CD14 Mono
18365,NK,NK
18366,T cell,CD4 Naive
18367,Mono/DC,CD14 Mono
18368,Mono/DC,CD14 Mono
18369,Progenitor cells,GMP
18370,Mono/DC,CD16 Mono
18371,T cell,CD8 Naive
18372,T cell,CD4 Naive
18373,Progenitor cells,HSC
18374,Mono/DC,CD14 Mono
18375,T cell,CD4 Memory
18376,T cell,CD4 Memory
18377,T cell,CD8 Memory_2
18378,Mono/DC,CD14 Mono
18379,T cell,CD8 Effector_2
18380,Progenitor cells,Prog_RBC
18381,T cell,CD8 Memory_1
18382,Mono/DC,CD14 Mono
18383,T cell,CD4 Naive
18384,Mono/DC,CD14 Mono
18385,B cell,Naive B
18386,Mono/DC,cDC2
18387,Mono/DC,CD14 Mono
18388,Mono/DC,pDC
18389,Mono/DC,CD14 Mono
18390,T cell,CD8 Naive
18391,Progenitor cells,HSC
18392,T cell,CD8 Memory_1
18393,T cell,CD8 Naive
18394,T cell,CD8 Naive
18395,T cell,CD8 Effector_2
18396,T cell,CD8 Naive
18397,Mono/DC,CD14 Mono
18398,Mono/DC,CD14 Mono
18399,Mono/DC,CD14 Mono
18400,B cell,Naive B
18401,B cell,Naive B
18402,Mono/DC,CD14 Mono
18403,T cell,CD4 Memory
18404,T cell,CD4 Naive
18405,NK,NK
18406,T cell,gdT
18407,T cell,CD4 Naive
18408,B cell,Naive B
18409,T cell,CD4 Memory
18410,T cell,gdT
18411,T cell,CD4 Naive
18412,T cell,CD8 Effector_1
18413,T cell,CD4 Naive
18414,Mono/DC,cDC2
18415,Mono/DC,CD14 Mono
18416,Progenitor cells,Prog_Mk
18417,Mono/DC,CD14 Mono
18418,Progenitor cells,Prog_RBC
18419,NK,NK
18420,T cell,CD4 Memory
18421,T cell,CD8 Effector_2
18422,B cell,Memory B
18423,T cell,CD8 Effector_1
18424,T cell,CD8 Memory_1
18425,B cell,Memory B
18426,T cell,CD4 Naive
18427,T cell,CD8 Naive
18428,T cell,CD4 Memory
18429,T cell,CD8 Memory_2
18430,B cell,Naive B
18431,Mono/DC,CD14 Mono
18432,Progenitor cells,GMP
18433,T cell,MAIT
18434,Mono/DC,CD14 Mono
18435,Mono/DC,CD14 Mono
18436,T cell,MAIT
18437,T cell,CD4 Naive
18438,Mono/DC,CD14 Mono
18439,T cell,CD4 Naive
18440,Mono/DC,CD14 Mono
18441,T cell,CD8 Naive
18442,B cell,Memory B
18443,Mono/DC,CD14 Mono
18444,T cell,MAIT
18445,NK,NK
18446,B cell,Memory B
18447,Progenitor cells,Prog_B 2
18448,T cell,CD4 Memory
18449,B cell,Naive B
18450,NK,NK
18451,T cell,CD8 Naive
18452,B cell,Naive B
18453,B cell,Naive B
18454,Mono/DC,CD14 Mono
18455,T cell,CD4 Memory
18456,Progenitor cells,GMP
18457,Mono/DC,CD14 Mono
18458,T cell,MAIT
18459,Mono/DC,CD14 Mono
18460,T cell,CD4 Memory
18461,NK,NK
18462,B cell,Naive B
18463,Progenitor cells,GMP
18464,Mono/DC,CD14 Mono
18465,Mono/DC,CD14 Mono
18466,Mono/DC,CD14 Mono
18467,Progenitor cells,Prog_Mk
18468,Mono/DC,CD14 Mono
18469,T cell,CD4 Naive
18470,T cell,CD8 Naive
18471,T cell,CD4 Memory
18472,T cell,CD8 Naive
18473,B cell,Memory B
18474,T cell,CD4 Naive
18475,Progenitor cells,Prog_DC
18476,T cell,CD8 Memory_1
18477,T cell,CD8 Naive
18478,T cell,CD4 Naive
18479,B cell,Memory B
18480,T cell,CD8 Memory_1
18481,B cell,Naive B
18482,T cell,CD4 Naive
18483,Progenitor cells,Prog_RBC
18484,B cell,Naive B
18485,T cell,CD8 Naive
18486,Mono/DC,cDC2
18487,T cell,gdT
18488,Mono/DC,CD14 Mono
18489,T cell,CD8 Effector_1
18490,T cell,CD8 Naive
18491,T cell,CD4 Memory
18492,T cell,CD4 Naive
18493,Progenitor cells,Prog_B 1
18494,T cell,CD4 Memory
18495,T cell,CD4 Memory
18496,NK,NK
18497,NK,NK
18498,T cell,CD4 Naive
18499,Progenitor cells,GMP
18500,Mono/DC,CD14 Mono
18501,T cell,CD8 Naive
18502,T cell,CD8 Naive
18503,Mono/DC,CD14 Mono
18504,T cell,CD4 Naive
18505,B cell,Naive B
18506,Mono/DC,pDC
18507,Mono/DC,CD14 Mono
18508,T cell,CD4 Naive
18509,T cell,CD4 Naive
18510,B cell,Memory B
18511,T cell,CD4 Naive
18512,T cell,CD8 Naive
18513,T cell,CD8 Naive
18514,T cell,CD8 Effector_1
18515,Progenitor cells,GMP
18516,Mono/DC,cDC2
18517,Progenitor cells,GMP
18518,T cell,CD4 Naive
18519,T cell,CD4 Memory
18520,Mono/DC,CD14 Mono
18521,Mono/DC,CD14 Mono
18522,T cell,CD8 Naive
18523,T cell,CD4 Naive
18524,T cell,CD8 Naive
18525,B cell,Naive B
18526,B cell,Naive B
18527,B cell,Memory B
18528,Mono/DC,CD14 Mono
18529,Mono/DC,CD14 Mono
18530,B cell,Memory B
18531,Mono/DC,CD14 Mono
18532,T cell,CD4 Memory
18533,T cell,CD4 Memory
18534,T cell,gdT
18535,T cell,CD8 Naive
18536,T cell,CD4 Naive
18537,Progenitor cells,HSC
18538,T cell,CD8 Effector_2
18539,Mono/DC,cDC2
18540,Progenitor cells,Prog_Mk
18541,T cell,CD4 Naive
18542,T cell,CD4 Memory
18543,B cell,Naive B
18544,B cell,Memory B
18545,T cell,CD8 Memory_2
18546,T cell,CD4 Naive
18547,T cell,CD8 Effector_1
18548,T cell,CD4 Naive
18549,B cell,Naive B
18550,NK,NK
18551,T cell,CD4 Memory
18552,Progenitor cells,Prog_DC
18553,Mono/DC,CD14 Mono
18554,NK,NK
18555,Mono/DC,cDC2
18556,Mono/DC,cDC2
18557,T cell,CD8 Naive
18558,B cell,Memory B
18559,T cell,CD4 Naive
18560,T cell,CD8 Naive
18561,B cell,Naive B
18562,B cell,Memory B
18563,Mono/DC,CD14 Mono
18564,Mono/DC,CD14 Mono
18565,B cell,Memory B
18566,Mono/DC,CD14 Mono
18567,T cell,CD8 Naive
18568,T cell,CD4 Naive
18569,Progenitor cells,LMPP
18570,Mono/DC,CD14 Mono
18571,T cell,CD4 Memory
18572,Mono/DC,CD14 Mono
18573,Progenitor cells,GMP
18574,Mono/DC,CD14 Mono
18575,T cell,CD8 Memory_2
18576,Progenitor cells,Prog_RBC
18577,Mono/DC,CD14 Mono
18578,B cell,Naive B
18579,Mono/DC,CD14 Mono
18580,T cell,CD4 Naive
18581,T cell,MAIT
18582,NK,NK
18583,Mono/DC,CD14 Mono
18584,T cell,CD8 Naive
18585,T cell,CD4 Memory
18586,T cell,CD8 Naive
18587,T cell,CD8 Memory_2
18588,Mono/DC,CD14 Mono
18589,T cell,CD4 Memory
18590,T cell,CD8 Naive
18591,T cell,CD8 Naive
18592,B cell,Memory B
18593,T cell,CD4 Memory
18594,Mono/DC,CD14 Mono
18595,T cell,CD8 Naive
18596,T cell,gdT
18597,Mono/DC,CD14 Mono
18598,Mono/DC,cDC2
18599,T cell,CD8 Naive
18600,T cell,CD8 Naive
18601,T cell,CD8 Memory_1
18602,T cell,CD8 Effector_1
18603,T cell,CD8 Naive
18604,Mono/DC,CD14 Mono
18605,T cell,CD8 Naive
18606,T cell,CD8 Naive
18607,Mono/DC,cDC2
18608,T cell,CD4 Memory
18609,NK,NK
18610,T cell,CD4 Naive
18611,T cell,CD8 Memory_1
18612,B cell,Naive B
18613,T cell,CD4 Naive
18614,Mono/DC,CD14 Mono
18615,Mono/DC,CD14 Mono
18616,T cell,MAIT
18617,B cell,Memory B
18618,T cell,CD8 Naive
18619,Mono/DC,cDC2
18620,Mono/DC,CD14 Mono
18621,Mono/DC,CD14 Mono
18622,B cell,Naive B
18623,T cell,CD8 Memory_2
18624,B cell,Plasmablast
18625,B cell,Naive B
18626,B cell,Naive B
18627,Mono/DC,CD14 Mono
18628,T cell,CD8 Memory_2
18629,NK,NK
18630,Mono/DC,CD14 Mono
18631,Mono/DC,cDC2
18632,T cell,CD4 Memory
18633,Mono/DC,CD14 Mono
18634,NK,NK
18635,Mono/DC,CD14 Mono
18636,NK,NK
18637,Mono/DC,CD14 Mono
18638,Mono/DC,CD14 Mono
18639,Mono/DC,CD14 Mono
18640,T cell,CD4 Naive
18641,T cell,CD8 Naive
18642,Mono/DC,cDC2
18643,Mono/DC,CD14 Mono
18644,B cell,Memory B
18645,NK,NK
18646,T cell,CD4 Naive
18647,NK,NK
18648,B cell,Naive B
18649,B cell,Memory B
18650,T cell,CD8 Naive
18651,B cell,Memory B
18652,B cell,Memory B
18653,Mono/DC,cDC2
18654,T cell,CD4 Naive
18655,T cell,CD4 Naive
18656,T cell,CD4 Naive
18657,B cell,Naive B
18658,Mono/DC,CD14 Mono
18659,T cell,CD4 Naive
18660,Progenitor cells,Prog_Mk
18661,T cell,CD4 Naive
18662,Mono/DC,CD14 Mono
18663,T cell,CD4 Naive
18664,Mono/DC,CD14 Mono
18665,Mono/DC,CD14 Mono
18666,T cell,CD8 Naive
18667,T cell,CD8 Effector_1
18668,T cell,CD4 Memory
18669,Mono/DC,CD14 Mono
18670,T cell,CD4 Memory
18671,B cell,Memory B
18672,B cell,Naive B
18673,B cell,Naive B
18674,T cell,CD8 Naive
18675,T cell,CD4 Naive
18676,T cell,CD4 Memory
18677,T cell,CD4 Naive
18678,T cell,CD8 Naive
18679,T cell,CD4 Naive
18680,Progenitor cells,LMPP
18681,Mono/DC,cDC2
18682,Mono/DC,CD14 Mono
18683,T cell,CD4 Memory
18684,T cell,CD8 Naive
18685,NK,NK
18686,T cell,CD8 Naive
18687,Progenitor cells,HSC
18688,Progenitor cells,Prog_B 1
18689,B cell,Naive B
18690,T cell,Treg
18691,T cell,gdT
18692,T cell,CD4 Naive
18693,NK,NK
18694,T cell,gdT
18695,T cell,CD4 Memory
18696,Mono/DC,cDC2
18697,Mono/DC,CD14 Mono
18698,T cell,CD4 Memory
18699,Mono/DC,CD14 Mono
18700,T cell,CD8 Memory_1
18701,T cell,MAIT
18702,T cell,CD4 Naive
18703,Progenitor cells,GMP
18704,Progenitor cells,Prog_DC
18705,Mono/DC,CD14 Mono
18706,T cell,CD8 Memory_1
18707,B cell,Naive B
18708,T cell,CD8 Memory_2
18709,Mono/DC,CD16 Mono
18710,B cell,Naive B
18711,B cell,Memory B
18712,B cell,Memory B
18713,T cell,CD8 Naive
18714,B cell,Memory B
18715,T cell,CD4 Naive
18716,T cell,CD4 Memory
18717,Mono/DC,CD14 Mono
18718,Mono/DC,CD14 Mono
18719,Mono/DC,CD14 Mono
18720,T cell,CD4 Naive
18721,T cell,CD4 Memory
18722,T cell,MAIT
18723,T cell,CD8 Naive
18724,Mono/DC,CD14 Mono
18725,B cell,Naive B
18726,Mono/DC,cDC2
18727,Progenitor cells,Prog_RBC
18728,T cell,CD4 Naive
18729,Progenitor cells,Prog_RBC
18730,Progenitor cells,Prog_RBC
18731,B cell,Memory B
18732,Mono/DC,CD14 Mono
18733,Progenitor cells,Prog_RBC
18734,T cell,CD8 Naive
18735,B cell,Memory B
18736,T cell,CD4 Memory
18737,B cell,Memory B
18738,Mono/DC,CD14 Mono
18739,Mono/DC,CD14 Mono
18740,Progenitor cells,Prog_RBC
18741,T cell,CD8 Naive
18742,T cell,CD8 Naive
18743,T cell,CD8 Naive
18744,Mono/DC,cDC2
18745,T cell,CD4 Memory
18746,B cell,Naive B
18747,T cell,CD4 Naive
18748,Mono/DC,CD14 Mono
18749,NK,NK
18750,Mono/DC,CD14 Mono
18751,T cell,CD4 Naive
18752,B cell,Memory B
18753,T cell,CD4 Naive
18754,B cell,Memory B
18755,B cell,Memory B
18756,T cell,CD8 Naive
18757,B cell,Memory B
18758,T cell,CD4 Naive
18759,T cell,gdT
18760,T cell,CD4 Memory
18761,B cell,Memory B
18762,T cell,CD4 Memory
18763,NK,NK
18764,T cell,CD4 Memory
18765,T cell,MAIT
18766,T cell,CD8 Naive
18767,T cell,CD8 Effector_1
18768,Mono/DC,CD14 Mono
18769,T cell,CD4 Naive
18770,T cell,CD8 Effector_1
18771,NK,NK
18772,Mono/DC,CD14 Mono
18773,Progenitor cells,Prog_RBC
18774,T cell,gdT
18775,T cell,CD8 Naive
18776,Mono/DC,CD14 Mono
18777,T cell,CD4 Naive
18778,Mono/DC,CD14 Mono
18779,T cell,CD4 Memory
18780,T cell,CD4 Naive
18781,T cell,CD8 Memory_1
18782,T cell,CD4 Memory
18783,B cell,Memory B
18784,T cell,CD8 Memory_1
18785,Progenitor cells,Prog_RBC
18786,Mono/DC,CD14 Mono
18787,Mono/DC,CD14 Mono
18788,Progenitor cells,Prog_B 2
18789,T cell,CD4 Naive
18790,Mono/DC,CD14 Mono
18791,B cell,Naive B
18792,T cell,CD4 Memory
18793,T cell,CD4 Naive
18794,B cell,Naive B
18795,T cell,CD8 Effector_2
18796,Mono/DC,CD14 Mono
18797,NK,NK
18798,Mono/DC,CD16 Mono
18799,B cell,Memory B
18800,B cell,Plasmablast
18801,Mono/DC,CD14 Mono
18802,Mono/DC,CD14 Mono
18803,Mono/DC,cDC2
18804,Mono/DC,CD14 Mono
18805,T cell,CD8 Memory_2
18806,T cell,CD8 Effector_1
18807,B cell,Naive B
18808,Progenitor cells,Prog_RBC
18809,Mono/DC,CD14 Mono
18810,B cell,Memory B
18811,B cell,Naive B
18812,T cell,CD4 Naive
18813,Mono/DC,CD14 Mono
18814,T cell,CD4 Naive
18815,NK,NK
18816,T cell,CD8 Naive
18817,T cell,CD8 Memory_2
18818,Mono/DC,CD14 Mono
18819,T cell,CD8 Naive
18820,Mono/DC,CD14 Mono
18821,T cell,CD8 Memory_1
18822,T cell,CD8 Naive
18823,T cell,CD8 Memory_1
18824,T cell,CD4 Memory
18825,NK,NK
18826,T cell,CD4 Naive
18827,T cell,CD4 Memory
18828,Mono/DC,CD14 Mono
18829,T cell,CD8 Naive
18830,Mono/DC,CD16 Mono
18831,Mono/DC,CD14 Mono
18832,B cell,Naive B
18833,Mono/DC,CD14 Mono
18834,T cell,CD4 Memory
18835,Progenitor cells,LMPP
18836,T cell,CD8 Naive
18837,Mono/DC,CD14 Mono
18838,T cell,CD8 Memory_2
18839,Mono/DC,CD14 Mono
18840,Mono/DC,CD14 Mono
18841,T cell,CD8 Naive
18842,B cell,Memory B
18843,T cell,CD4 Memory
18844,NK,NK
18845,T cell,CD8 Naive
18846,T cell,CD8 Naive
18847,Progenitor cells,HSC
18848,Mono/DC,CD14 Mono
18849,B cell,Naive B
18850,T cell,CD4 Memory
18851,T cell,CD4 Naive
18852,Mono/DC,pDC
18853,T cell,CD8 Naive
18854,Mono/DC,CD14 Mono
18855,Progenitor cells,Prog_RBC
18856,Mono/DC,CD14 Mono
18857,T cell,CD4 Memory
18858,B cell,Naive B
18859,Mono/DC,pDC
18860,T cell,CD4 Memory
18861,T cell,CD4 Naive
18862,T cell,CD8 Naive
18863,Mono/DC,CD14 Mono
18864,B cell,Memory B
18865,T cell,CD4 Naive
18866,T cell,CD4 Naive
18867,Progenitor cells,Prog_DC
18868,B cell,Naive B
18869,Mono/DC,CD14 Mono
18870,B cell,Naive B
18871,Progenitor cells,Prog_RBC
18872,T cell,CD8 Naive
18873,Mono/DC,CD14 Mono
18874,Mono/DC,CD14 Mono
18875,NK,NK
18876,Progenitor cells,GMP
18877,Mono/DC,CD14 Mono
18878,Progenitor cells,Prog_Mk
18879,T cell,CD4 Naive
18880,T cell,Treg
18881,T cell,CD4 Memory
18882,T cell,CD8 Effector_2
18883,Mono/DC,CD14 Mono
18884,T cell,CD4 Naive
18885,T cell,CD8 Naive
18886,T cell,CD4 Memory
18887,T cell,CD8 Naive
18888,NK,NK
18889,B cell,Memory B
18890,T cell,CD8 Naive
18891,T cell,CD4 Naive
18892,B cell,Naive B
18893,Mono/DC,CD14 Mono
18894,T cell,CD4 Naive
18895,Mono/DC,CD14 Mono
18896,Mono/DC,CD14 Mono
18897,T cell,CD4 Memory
18898,Mono/DC,CD14 Mono
18899,T cell,CD8 Naive
18900,B cell,Naive B
18901,T cell,MAIT
18902,T cell,CD8 Naive
18903,NK,NK
18904,T cell,CD4 Naive
18905,T cell,CD8 Memory_2
18906,Mono/DC,CD14 Mono
18907,B cell,Naive B
18908,B cell,Memory B
18909,T cell,CD8 Naive
18910,Mono/DC,CD14 Mono
18911,Progenitor cells,GMP
18912,Progenitor cells,LMPP
18913,Progenitor cells,LMPP
18914,T cell,CD4 Memory
18915,T cell,CD8 Memory_2
18916,T cell,CD8 Naive
18917,T cell,MAIT
18918,Mono/DC,CD14 Mono
18919,NK,NK
18920,T cell,CD8 Naive
18921,NK,CD56 bright NK
18922,Mono/DC,CD14 Mono
18923,Mono/DC,pDC
18924,Mono/DC,CD14 Mono
18925,T cell,CD4 Naive
18926,NK,NK
18927,T cell,CD8 Naive
18928,Mono/DC,CD14 Mono
18929,Progenitor cells,Prog_RBC
18930,T cell,CD4 Naive
18931,T cell,CD8 Naive
18932,T cell,CD4 Memory
18933,T cell,CD4 Memory
18934,Mono/DC,CD14 Mono
18935,T cell,CD8 Naive
18936,T cell,CD8 Naive
18937,T cell,CD8 Naive
18938,T cell,CD8 Naive
18939,T cell,CD4 Naive
18940,NK,NK
18941,Progenitor cells,Prog_B 2
18942,Mono/DC,CD14 Mono
18943,T cell,CD8 Naive
18944,T cell,CD8 Naive
18945,Mono/DC,CD14 Mono
18946,T cell,MAIT
18947,Progenitor cells,LMPP
18948,NK,NK
18949,T cell,CD8 Effector_1
18950,T cell,CD8 Effector_2
18951,NK,NK
18952,Mono/DC,pDC
18953,Mono/DC,pDC
18954,Progenitor cells,Prog_B 1
18955,Mono/DC,CD14 Mono
18956,T cell,CD4 Naive
18957,Mono/DC,pDC
18958,Progenitor cells,Prog_RBC
18959,T cell,CD4 Memory
18960,T cell,CD4 Memory
18961,T cell,CD8 Naive
18962,Mono/DC,CD14 Mono
18963,T cell,CD8 Naive
18964,Mono/DC,cDC2
18965,Mono/DC,CD14 Mono
18966,T cell,CD4 Memory
18967,Mono/DC,CD14 Mono
18968,T cell,CD4 Memory
18969,T cell,CD4 Naive
18970,T cell,CD4 Naive
18971,T cell,CD8 Memory_1
18972,T cell,CD8 Memory_1
18973,T cell,CD4 Naive
18974,B cell,Memory B
18975,T cell,CD4 Memory
18976,T cell,CD8 Memory_1
18977,B cell,Naive B
18978,T cell,CD4 Naive
18979,B cell,Naive B
18980,B cell,Memory B
18981,T cell,CD4 Naive
18982,Mono/DC,CD14 Mono
18983,Mono/DC,CD14 Mono
18984,T cell,CD8 Effector_2
18985,T cell,CD4 Naive
18986,B cell,Naive B
18987,Mono/DC,CD14 Mono
18988,Progenitor cells,HSC
18989,Mono/DC,CD14 Mono
18990,T cell,CD4 Memory
18991,Mono/DC,CD14 Mono
18992,T cell,CD4 Naive
18993,T cell,CD4 Memory
18994,B cell,Memory B
18995,Mono/DC,CD14 Mono
18996,NK,NK
18997,Mono/DC,pDC
18998,Mono/DC,cDC2
18999,T cell,CD8 Naive
19000,T cell,CD8 Memory_2
19001,T cell,CD4 Memory
19002,T cell,CD8 Naive
19003,T cell,CD8 Naive
19004,T cell,CD4 Memory
19005,Progenitor cells,Prog_RBC
19006,T cell,CD4 Naive
19007,Progenitor cells,GMP
19008,Progenitor cells,Prog_RBC
19009,T cell,CD8 Naive
19010,Mono/DC,CD14 Mono
19011,Mono/DC,CD14 Mono
19012,B cell,Naive B
19013,T cell,CD4 Naive
19014,Mono/DC,CD14 Mono
19015,T cell,CD8 Naive
19016,T cell,CD4 Memory
19017,Mono/DC,CD14 Mono
19018,T cell,CD4 Memory
19019,T cell,Treg
19020,T cell,CD8 Effector_1
19021,T cell,Treg
19022,B cell,Naive B
19023,T cell,CD8 Effector_2
19024,T cell,MAIT
19025,B cell,Memory B
19026,Progenitor cells,HSC
19027,T cell,gdT
19028,T cell,CD8 Naive
19029,Progenitor cells,Prog_B 2
19030,T cell,MAIT
19031,T cell,CD8 Naive
19032,T cell,CD4 Memory
19033,T cell,CD4 Naive
19034,T cell,CD4 Naive
19035,T cell,CD8 Naive
19036,T cell,CD8 Memory_1
19037,T cell,CD8 Naive
19038,T cell,CD8 Naive
19039,Mono/DC,CD14 Mono
19040,T cell,CD4 Memory
19041,B cell,Naive B
19042,B cell,Memory B
19043,T cell,CD4 Naive
19044,T cell,CD4 Memory
19045,Mono/DC,CD14 Mono
19046,Mono/DC,CD14 Mono
19047,T cell,MAIT
19048,Mono/DC,CD14 Mono
19049,T cell,CD8 Naive
19050,T cell,CD4 Naive
19051,B cell,Naive B
19052,T cell,CD8 Effector_2
19053,Mono/DC,pDC
19054,T cell,CD4 Naive
19055,T cell,CD4 Memory
19056,B cell,Naive B
19057,T cell,CD4 Memory
19058,T cell,CD8 Naive
19059,T cell,MAIT
19060,T cell,CD4 Memory
19061,Progenitor cells,Prog_RBC
